Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,"Jyotish Bhawishya Darshan, Astrologer Mrinal Mutsuddi, Astrologer in Digboi",8876424553,mrinal.mutsuddi1962@gmail.com,,"Near Buddhists Temple, Golai No 1, Digboi",
1,"Astrology Consultancy | Astrologer, Palmists in Fancy Bazar, Guwahati",03612639331,,,"Opposite Sani Mandir, Fancy Bazar, Guwahati-1",Services Offered: Astrology & Palmists
2,"Dr Sarma Pradip | Astrologer, Palmists",9864158243,,,"Japorigog, Krishna Nagar,Guwahati-5","Services Offered: Astrologer, Palmists"
3,"Ratna Bhawan | Astrologer, Palmists, Gems & Stones provider in Ulubari, Guwahati",9954248345,,,"Ulubari Chariali, Guwahati-7","Services Offered: Astrology & Palmists, Gems & Stones"
4,"Ashim Kumar Das | Astrologer, Palmists in Sixmile, Guwahati",9957271457,,,"Sixmile,Guwahati-22",Services Offered: Astrology & Palmists
5,"School Of Indian Astrology | Astrology & Palmists in Rajgarh, Guwahati",9435146262,,,"Byelane-9, Rajgarh Road,Guwahati-3","Services Offered: Professional Institute, Astrology & Palmists"
6,"Sree Sarma Gopal | Astrologer & Palmists in Basista, Guwahati",9864059517,,,"Basista, Guwahati-29",Services Offered: Astrology & Palmist
7,"Bharath Raaj Astro Samadhan & Res Centre | Astrologer & Palmists in Rukmini Gaon, Guwahati",9954325775,,,"Rukmini Gaon,Guwahati-22",Services Offered: Astrology & Palmists
8,"Graha Bichar Niketan | Astrologer & Palmists in Zoo Road, Guwahati",03612200638,,,"Shree Nagar,Zoo Road, Guwahati-5",Services Offered: Astrology & Palmists
9,"Abhijeet | Astrologer & Palmists in Rajgarh, Guwahati",03612464939,,,"Byelane-9, Rajgarh Road, Guwahati-3",Services Offered: Astrology & Palmists
10,"Trikaal Mahabhayarab Tantra Kendra | Astrologer, Palmists in Nagaon",9954031556,,,"Kuwaritol, Nagaon, Assam",Services Offered: Astrology & Palmists
11,"Prabhat Deori | Astrologer, Palmists in Birubari, Guwahati",9854380359,,,"Birubari, Guwahati-16",Services Offered: Astrology & Palmists
12,"Bamdev Jyotish Kendra | Astrologer & Palmists in Silpukhuri, Guwahati",9435102359,,,"Nabagraha Road, Silpukhuri, Guwahati-3",Bamdev Jyotish KendraServices Offered: Astrology & Palmists
13,"Sree Supriya | Astrologer, Palmists in Lakhtokia, Guwahati",03612633724,,,"SS Road, Lakhtokia, Guwahati-1","Sree SupriyaServices Offered: Astrology, Palmists"
14,"Rantu Kashyap । Astrologer, Palmists in Narengi, Guwahati",9864096714,,,"Narengi, Guwahati-26","Services Offered: Astrology, Palmists"
15,"Ratna Kutir | Astrologer, Palmists in Lachit Nagar, Guwahati",9864027798,,,"Lachit Nagar, Guwahati-7","Ratna KutirServices Offered: Astrology, Palmists"
