Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,Water Treatment Plant Service and Installation in Guwahati Assam - Green Acres Communication,9435097255,greenacrescommunication@gmail.com,,"House No # 191,
North Guwahati Madhyam Khanda ,
Guwahati -781030,Assam","Water Treatment Plant Service and Installation  in Guwahati AssamM/S Green Acres CommunicationWe deals inWe provide solution throughout Assam and  entire North East India.We take [AMC] Annual Maintenance Contract for all kinds of Water Solution Plants.Support Provided to Swimming Pool,Hospitals, Government Departments,Schools, Colleges ,Apartment Buildings,Industries and many more areas.Some of our esteem Clients are :Timing : 7 AM -10 PM , Sunday also Open."
1,Demat/Trading Account( No.1 Broker India),08638694602,nasir.ahmed01@gmail.com,,"Aashirwad Residency , H No. 58 A,3rd Floor
Basisthapur Byelane-1 ,Wireless","Hi,
Time to Switch from Traditional Brokerage Houses to reputed Discount Broker which offers Best Technology for you to become more profitable and save on your Brokerage expenses upto 90%.Regards
Nasir"
2,GyaanMart | Top Business Consultants in Guwahati,7602969547,info@gyaanmart.com,,"Guwahati, Assam","Check the updated list of top most business consultants in Guwahati and send an inquiry to the most preferred consultant for free.
Gyaanmart is the only online directory for business consultants in India. It's a hub for the best consultants across various sectors.We work as a bridge between you and the expert consultants to provide you a satisfactory outcome.Our works help you in detecting your problems and rectifying them with the help of best consulting firms.
Send your inquiry for free.Get in touch with us - info@gyaanmart.com"
3,"Aqua Pools and Spa Co, Swiming Pool , Water & Waste Water Treatment and Consultant",09831066227,guwahati@aquapools-spa.com,http://aquapools-spa.com,"Holding No: 1521 Road No:08, Kalpanapuri West, Arvind Sing Society Adityapur, Jharkhand-832109, India","Aqua Pools and Spa Co, Swiming Pool , Water & Waste Water Treatment and Consultant"
4,Architectural & Interior Designing House|Golden Bricks Guwahati,,,,"Manab Protim Dutta ,Architect, House no 07,1st floor,Opp lachit Nagar Bylane, Rajgarh Road,Guwahati-7","Architectural & Interior Designing House|Golden Bricks Guwahati. Architectural & Interior Designing Service Provider Guwahati, Hardware item supplier in Guwahati, Interior designer in Guwahati"
5,"BG Enterprise -Fire Protection & Security, Guwahati Assam",,,,"Lakhara Chariali,Near Central bank, Guwahati-34,Assam","BG Enterprise -Fire Protection & Security, Guwahati Assam"
6,Tradeline Corporation -Agricultural Product Distributor Guwahati,,,,"H.No #1,Sundarpur, RGB Road,Near NRL Petrol Pump, Guwahati-5",Tradeline Corporation -Agricultural Product Distributor Guwahati
7,"K.G Agro Inputs- Agro Chemical & Seeds Supplier Guwahati,Assam",,,,"TR Phukan Road,Machkhowa, Guwahati-9,Assam","K.G Agro Inputs- Agro Chemical & Seeds Supplier Guwahati,Assam"
8,"Interior Designer Decor Studio Guwahati, ATMOSPHERE",,,,"Tribeni's Commercial Complex, 1st Floor,GS Road, Above LG Soppe, Guwahati","Interior Designer Decor Studio Guwahati, ATMOSPHERE"
9,"Foreign Exchange Agents in Guwahati-SOLIDUS Forex Limited,Assam",0361-2466079,,,"House No 82, B.Boruah Road. Opp Hotel Land Mark, Guwahati -7, Assam","Foreign Exchange Agents in Guwahati-SOLIDUS Forex Limited,Assam. Exchange your Notes. Currency Converter"
10,Interior Design Consulatnt Guwahati -Essence Interiors,"9085198606,",utpala1975@gmail.com,,,Interior Design Consulatnt Guwahati -Essence Interiors
11,"Computer Aided Design & Architect Farm, Guwahati -Jyoti CAD Centre",,,,"Rajgarh Link Road #1, Opp,Commerce College, Guwahati-3","Computer Aided Design & Architect Farm, Guwahati -Jyoti CAD Centre"
12,"Event Management Guwahati, Wedding Planner & Production, SM Exhibit Assam",9085096488,smexhibit@rediffmail.com,,"Kalapahar,Bimala Nagar, House No #54 ,PO -Gopinath Nagar, Guwahati-781016,Assam","Event Management Guwahati, Wedding Planner & Production, SM Exhibit Assam"
13,"Pankaj Phukan and Associates, Architech, Interior Designer, Consultant in Guwahati",03612458249,,,"Santi Path, R.G. Baruah Road, Bye Lane-2, H.No.2, Guwahati-24","Pankaj Phukan and Associates, Architech, Interior Designer, Consultant in Guwahati"
14,"Tri Optimum Systems, Consulting and Training",,,,"HUDCO Building, RGB Road, Guwahati-781005","Tri Optimum Systems, Consulting and Training"
15,"Mechon Engineering and Consultancy, Guwahati",,,,"Maya Apartment, Flat No-402/B, New Guwahati, Guwahati-781020","Mechon Engineering and Consultancy, Guwahati"
16,Pest Control Service in Guwahati Assam -Mahanta Enterprises,0361-2461413,mahanta1956@gmail.com,,"B.Barooah Road, By lane ,Near Ulubari Chariali ,Guwahati-7","Pest Control Service in Guwahati Assam -Mahanta Enterprises,Member of Pest Control Association of India.To get Priority over phone ,Mention Assam Yellow Page as a reference."
17,Party Arranger & Event Management- EVENT Solutions Guwahati Assam,7896044155,eventsolutions.guwahati@gmail.com,,"#694,2nd Floor , Kalapahar , Colony Bazar, Near Thakur Mandir, Guwahati-18.","Party Arranger & Event Management- EVENT Solutions Guwahati AssamTo get Priority over phone ,Mention Assam Yellow Page as a reference."
18,Fire & Safety Equipment Supplier Agency Guwahati Assam,9864046498,,,"#03,GMC Market Chandmari Fly Over,Ghandmari Guwaahti-3,Assam","Fire & Safety Equipment Supplier Agency Guwahati AssamTo get Priority over phone ,Mention Assam Yellow Page as a reference."
19,"Moksha Project Consultancy Guwahati Assam | Project Management ,Capacity Building",,,,"Moksha Consultancy
Rajgarh Bye Lane No.1,
Rajgarh Road, Guwahati - 3","Moksha Project Consultancy Guwahati Assam | Project Management ,Capacity Building"
20,"GeoTechnical Consultancy,Geophysical Investigation and Information,Guwahati,Assam",,,,"47 Rehabari Bilpar,
Guwahati-8 ,Assam","GeoTechnical Consultancy,Guwahati,Assam"
21,"Job Placement Consultants in Guwahati,Assam",,,,"Barthakur Mill Road. Opposite Mansarovar Apartment
RHS 2nd Building. 2nd Floor
Uluberia Guwahati 781007",Aachievers Management Consultancies Pvt Ltdis a leading Guwahati job search company. AMC has been effectively providing end-to-end recruitment solutions to its clients globally. AMC offers world-class placement as well as settlement services operational for a decade.
